SESSION 335
Start Time: 12:48:53 23/01/24
23/01/24 12:49:03
23/01/24 12:49:13
23/01/24 12:49:23
23/01/24 12:49:33
23/01/24 12:49:43
23/01/24 12:49:53
23/01/24 12:50:03
23/01/24 12:50:13
23/01/24 12:50:23
23/01/24 12:50:33
23/01/24 12:50:43
23/01/24 12:50:53
23/01/24 12:51:03
23/01/24 12:51:13
23/01/24 12:51:23
23/01/24 12:51:33
23/01/24 12:51:43
23/01/24 12:51:53
23/01/24 12:52:03
23/01/24 12:52:13
23/01/24 12:52:23
23/01/24 12:52:33
23/01/24 12:52:43
23/01/24 12:52:53
23/01/24 12:53:03
23/01/24 12:53:13
23/01/24 12:53:23
23/01/24 12:53:33
23/01/24 12:53:43
23/01/24 12:53:53
23/01/24 12:54:03
23/01/24 12:54:13
23/01/24 12:54:23
Stop Time: 12:54:25 23/01/24, Duration: 00:05:37
