
SESSION 328
Start Time: 15:10:06 22/01/24
151016
151026
151036
SESSION 329
Start Time: 12:06:31 23/01/24
120641
120651
120701
120711
120721
120731
120741
Stop Time: 12:07:43 23/01/24, Duration: 00:01:17
  
SESSION 330
Start Time: 12:14:07 23/01/24
23-01-2024 12:14
23-01-2024 12:14
23-01-2024 12:14
Stop Time: 12:14:44 23/01/24, Duration: 00:00:42
  
SESSION 331
Start Time: 12:19:10 23/01/24
23-01-2024 12:19
23-01-2024 12:19
23-01-2024 12:19
Stop Time: 12:19:42 23/01/24, Duration: 00:00:37
  
SESSION 332
Start Time: 12:39:35 23/01/24
SESSION 333
Start Time: 12:42:27 23/01/24
12:42:37
12:42:47
12:42:57
Stop Time: 12:42:59 23/01/24, Duration: 00:00:37
  
SESSION 334
Start Time: 12:46:48 23/01/24
23/01/24 12:46:58
23/01/24 12:47:08
23/01/24 12:47:18
Stop Time: 12:47:20 23/01/24, Duration: 00:00:38
  
SESSION 335
Start Time: 12:48:53 23/01/24
23/01/24 12:49:03
23/01/24 12:49:13
23/01/24 12:49:23
23/01/24 12:49:33
23/01/24 12:49:43
23/01/24 12:49:53
23/01/24 12:50:03
23/01/24 12:50:13
23/01/24 12:50:23
23/01/24 12:50:33
23/01/24 12:50:43
23/01/24 12:50:53
23/01/24 12:51:03
23/01/24 12:51:13
23/01/24 12:51:23
23/01/24 12:51:33
23/01/24 12:51:43
23/01/24 12:51:53
23/01/24 12:52:03
23/01/24 12:52:13
23/01/24 12:52:23
23/01/24 12:52:33
23/01/24 12:52:43
23/01/24 12:52:53
23/01/24 12:53:03
23/01/24 12:53:13
23/01/24 12:53:23
23/01/24 12:53:33
23/01/24 12:53:43
23/01/24 12:53:53
23/01/24 12:54:03
23/01/24 12:54:13
23/01/24 12:54:23
Stop Time: 12:54:25 23/01/24, Duration: 00:05:37
  
SESSION 336
Start Time: 09:21:12 28/01/24
28/01/24 09:21:22
28/01/24 09:21:32
28/01/24 09:21:42
28/01/24 09:21:52
28/01/24 09:22:02
28/01/24 09:22:12
28/01/24 09:22:22
28/01/24 09:22:32
28/01/24 09:22:42
28/01/24 09:22:52
28/01/24 09:23:02
Stop Time: 09:23:07 28/01/24, Duration: 00:02:00
  
SESSION 337
Start Time: 09:31:44 28/01/24
28/01/24 09:31:54
28/01/24 09:32:04
28/01/24 09:32:14
28/01/24 09:32:24
28/01/24 09:32:34
28/01/24 09:32:44
28/01/24 09:32:54
28/01/24 09:33:04
28/01/24 09:33:14
28/01/24 09:33:24
Stop Time: 09:33:26 28/01/24, Duration: 00:01:47
  
SESSION 338
Start Time: 14:38:19 07/02/24
07/02/24 14:38:19
07/02/24 14:38:19
07/02/24 14:38:19
07/02/24 14:38:19
07/02/24 14:38:19
07/02/24 14:38:19
07/02/24 14:38:19
07/02/24 14:38:19
07/02/24 14:38:19
07/02/24 14:38:19
07/02/24 14:38:19
07/02/24 14:38:19
07/02/24 14:38:19
07/02/24 14:38:19
07/02/24 14:38:19
07/02/24 14:38:19
07/02/24 14:38:19
