                                                                              01 Jul 2023 13:17:30
Civil Air Patrol Use Only
Facility-APRSGT-To-Satellite-DRAGONFLY:  Access Summary Report


APRSGT-To-DRAGONFLY
-------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------    ------------------------    ------------------------    --------------
                       1    30 Jun 2023 21:14:12.840    30 Jun 2023 21:22:33.314           500.475
                       2    30 Jun 2023 22:49:03.239    30 Jun 2023 22:59:40.260           637.021
                       3     1 Jul 2023 00:27:17.199     1 Jul 2023 00:35:22.178           484.979
                       4     1 Jul 2023 02:07:15.884     1 Jul 2023 02:11:17.544           241.660
                       5     1 Jul 2023 03:44:22.353     1 Jul 2023 03:50:33.742           371.389
                       6     1 Jul 2023 05:19:56.188     1 Jul 2023 05:29:51.796           595.607
                       7     1 Jul 2023 06:56:10.345     1 Jul 2023 07:06:23.116           612.771
                       8     1 Jul 2023 20:22:15.677     1 Jul 2023 20:27:16.819           301.141
                       9     1 Jul 2023 21:55:11.487     1 Jul 2023 22:05:47.791           636.304
                      10     1 Jul 2023 23:32:30.772     1 Jul 2023 23:41:44.271           553.499
                      11     2 Jul 2023 01:12:15.576     2 Jul 2023 01:17:21.255           305.679
                      12     2 Jul 2023 02:50:37.534     2 Jul 2023 02:55:27.448           289.914
                      13     2 Jul 2023 04:26:16.702     2 Jul 2023 04:35:17.329           540.628
                      14     2 Jul 2023 06:02:09.538     2 Jul 2023 06:12:48.412           638.874
                      15     2 Jul 2023 07:40:15.728     2 Jul 2023 07:46:15.032           359.304
                      16     2 Jul 2023 21:01:41.665     2 Jul 2023 21:11:44.253           602.589
                      17     2 Jul 2023 22:37:59.638     2 Jul 2023 22:48:04.170           604.532
                      18     3 Jul 2023 00:17:09.261     3 Jul 2023 00:23:38.258           388.997
                      19     3 Jul 2023 01:56:36.773     3 Jul 2023 02:00:30.592           233.820
                      20     3 Jul 2023 03:32:38.985     3 Jul 2023 03:40:28.047           469.062
                      21     3 Jul 2023 05:08:18.810     3 Jul 2023 05:18:52.543           633.733
                      22     3 Jul 2023 06:45:15.163     3 Jul 2023 06:54:00.288           525.125
                      23     3 Jul 2023 20:08:40.163     3 Jul 2023 20:17:22.111           521.948
                      24     3 Jul 2023 21:43:45.590     3 Jul 2023 21:54:19.838           634.248
                      25     3 Jul 2023 23:22:08.658     3 Jul 2023 23:29:59.938           471.280
                      26     4 Jul 2023 01:02:06.379     4 Jul 2023 01:06:01.125           234.746
                      27     4 Jul 2023 02:39:00.604     4 Jul 2023 02:45:27.179           386.576
                      28     4 Jul 2023 04:14:34.630     4 Jul 2023 04:24:37.984           603.354
                      29     4 Jul 2023 05:50:53.716     4 Jul 2023 06:00:57.823           604.107
                      30     4 Jul 2023 19:16:27.534     4 Jul 2023 19:22:19.657           352.123
                      31     4 Jul 2023 20:49:50.281     4 Jul 2023 21:00:28.885           638.604
                      32     4 Jul 2023 22:27:19.757     4 Jul 2023 22:36:22.198           542.442
                      33     5 Jul 2023 00:07:08.999     5 Jul 2023 00:12:01.019           292.020
                      34     5 Jul 2023 01:45:17.381     5 Jul 2023 01:50:20.826           303.445
                      35     5 Jul 2023 03:20:54.616     5 Jul 2023 03:30:06.388           551.772
                      36     5 Jul 2023 04:56:50.576     5 Jul 2023 05:07:27.314           636.738
